x [mm];y [mm];z [mm];X-displacement [mm];Y-displacement [mm];Z-displacement [mm];Displacement [mm];Exx [S];Eyy [S];Exy [S];Poisson's ratio -strain min/max;Poisson's ratio -Exx/Eyy;Poisson's ratio -Eyy/Exx;Poisson's ratio -strain max/min;Maximum principal strain [S];Minimum principal strain [S];Maximum shear strain [S];Maximum shear angle [°];Maximum strain angle [°];Tresca strain [S];Von Mises strain [S];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity-z [S];Height [mm];du/dx+dv/dy [S];Div-xy [S];Stereo reconstruction error [pixel]
-44.085126;48.635426;-14.030656;0;0;0;0;2.220446e-16;0;3.824913e-17;0;0;0;0;2.284487e-16;-6.404048e-18;1.174263e-16;45;0;1.565685e-16;1.54478e-16;2.220446e-16;7.649827e-17;0;0;-7.649827e-17;-14.030656;2.220446e-16;-2.220446e-16;0
-10.212419;48.635426;5.648323;0;0;0;0;0;-4.440892e-16;3.620692e-17;0;0;0;0;2.932611e-18;-4.470218e-16;2.249772e-16;45;0;2.999696e-16;2.989969e-16;0;0;7.241384e-17;-4.440892e-16;7.241384e-17;5.649379;-4.440892e-16;4.440892e-16;0
-8.599433;48.635426;5.967865;0;0;0;0;2.220446e-16;0;-3.094447e-17;0;0;0;0;2.262764e-16;-4.231817e-18;1.152541e-16;45;0;1.536722e-16;1.522812e-16;2.220446e-16;-6.188895e-17;0;0;6.188895e-17;5.971529;2.220446e-16;-2.220446e-16;0
-6.986447;48.635426;6.298398;0;0;0;0;-1.110223e-16;2.220446e-16;7.76564e-21;0;0;0;0;2.220446e-16;-1.110223e-16;1.665335e-16;45;0;2.220446e-16;1.958249e-16;-1.110223e-16;1.553128e-20;0;2.220446e-16;-1.553128e-20;6.285654;1.110223e-16;-1.110223e-16;0
-5.373461;48.635426;6.590698;0;0;0;0;-1.110223e-16;0;1.743156e-19;0;0;0;0;2.736914e-22;-1.110226e-16;5.551142e-17;45;0;7.401523e-17;7.401514e-17;-1.110223e-16;3.486312e-19;0;0;-3.486312e-19;6.572166;-1.110223e-16;1.110223e-16;0
-3.760475;48.635426;6.827401;0;0;0;0;0;0;3.079442e-17;0;0;0;0;3.079442e-17;-3.079442e-17;3.079442e-17;45;0;4.105922e-17;3.555833e-17;0;6.158883e-17;0;0;-6.158883e-17;6.808166;0;0;0
-2.147489;48.635426;7.0064;0;0;0;0;0;0;-3.066216e-17;0;0;0;0;3.066216e-17;-3.066216e-17;3.066216e-17;45;0;4.088289e-17;3.540562e-17;0;-6.132433e-17;0;0;6.132433e-17;6.997879;0;0;0
-0.534503;48.635426;7.159835;0;0;0;0;-1.110223e-16;2.220446e-16;3.065074e-17;0;0;0;0;2.248418e-16;-1.138195e-16;1.693306e-16;45;0;2.257742e-16;1.989976e-16;-1.110223e-16;6.114729e-17;1.54199e-19;2.220446e-16;-6.099309e-17;7.116189;1.110223e-16;-1.110223e-16;0
1.078483;48.635426;7.182332;0;0;0;0;2.220446e-16;-2.220446e-16;3.071024e-17;0;0;0;0;2.241583e-16;-2.241583e-16;2.241583e-16;45;0;2.988777e-16;2.588357e-16;2.220446e-16;6.134329e-17;7.719454e-20;-2.220446e-16;-6.126609e-17;7.136544;0;0;0
2.691469;48.635426;7.067467;0;0;0;0;2.220446e-16;-2.220446e-16;-1.763418e-19;0;0;0;0;2.220447e-16;-2.220447e-16;2.220447e-16;45;0;2.960596e-16;2.563951e-16;2.220446e-16;-5.068523e-19;1.541687e-19;-2.220446e-16;6.61021e-19;7.080309;0;0;0
4.304455;48.635426;6.99113;0;0;0;0;-1.110223e-16;-2.220446e-16;3.305926e-19;0;0;0;0;-1.110213e-16;-2.220456e-16;5.551214e-17;45;0;7.401618e-17;1.281981e-16;-1.110223e-16;5.068581e-19;1.54327e-19;-2.220446e-16;-3.525311e-19;6.996436;-3.330669e-16;3.330669e-16;0
5.917441;48.635426;6.930713;0;0;0;0;0;-2.220446e-16;5.637207e-20;0;0;0;0;1.431158e-23;-2.220446e-16;1.110223e-16;45;0;1.480298e-16;1.480298e-16;0;-4.155352e-20;1.542977e-19;-2.220446e-16;1.958512e-19;6.920896;-2.220446e-16;2.220446e-16;0
7.530427;48.635426;6.840846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;6.823155;0;0;0
9.143413;48.635426;6.697908;0;0;0;0;0;2.220446e-16;3.036603e-17;0;0;0;0;2.261225e-16;-4.077859e-18;1.151002e-16;45;0;1.534669e-16;1.521258e-16;0;6.103932e-17;-3.072645e-19;2.220446e-16;-6.134658e-17;6.683104;2.220446e-16;-2.220446e-16;0
10.756399;48.635426;6.510559;0;0;0;0;0;0;-6.176703e-17;0;0;0;0;6.176703e-17;-6.176703e-17;6.176703e-17;45;0;8.235603e-17;7.132242e-17;0;-1.235341e-16;0;0;1.235341e-16;6.49755;0;0;0
12.369385;48.635426;6.284183;0;0;0;0;-1.110223e-16;-2.220446e-16;5.764487e-19;0;0;0;0;-1.110193e-16;-2.220476e-16;5.551414e-17;45;0;7.401886e-17;1.281992e-16;-1.110223e-16;8.475567e-19;3.053408e-19;-2.220446e-16;-5.422159e-19;6.270171;-3.330669e-16;3.330669e-16;0
13.982371;48.635426;6.015772;0;0;0;0;-1.110223e-16;0;3.12033e-17;0;0;0;0;8.168782e-18;-1.191911e-16;6.367993e-17;45;0;8.490658e-17;8.231886e-17;-1.110223e-16;6.24066e-17;0;0;-6.24066e-17;6.001639;-1.110223e-16;1.110223e-16;0
15.595357;48.635426;5.704962;0;0;0;0;0;0;-6.152341e-17;0;0;0;0;6.152341e-17;-6.152341e-17;6.152341e-17;45;0;8.203122e-17;7.104112e-17;0;-1.230468e-16;0;0;1.230468e-16;5.691118;0;0;0
17.208343;48.635426;5.352622;0;0;0;0;0;-2.220446e-16;1.502164e-19;0;0;0;0;1.016235e-22;-2.220447e-16;1.110224e-16;45;0;1.480299e-16;1.480298e-16;0;0;3.004328e-19;-2.220446e-16;3.004328e-19;5.331031;-2.220446e-16;2.220446e-16;0
18.821329;48.635426;4.935508;0;0;0;0;-1.110223e-16;0;-3.025941e-17;0;0;0;0;7.71163e-18;-1.187339e-16;6.322278e-17;45;0;8.429704e-17;8.184769e-17;-1.110223e-16;-6.051883e-17;0;0;6.051883e-17;4.920787;-1.110223e-16;1.110223e-16;0
20.434315;48.635426;4.474229;0;0;0;0;2.220446e-16;-2.220446e-16;3.066363e-17;0;0;0;0;2.241519e-16;-2.241519e-16;2.241519e-16;45;0;2.988692e-16;2.588283e-16;2.220446e-16;6.103134e-17;2.95914e-19;-2.220446e-16;-6.073543e-17;4.462106;0;0;0
22.047301;48.635426;3.976582;0;0;0;0;2.220446e-16;-2.220446e-16;-5.011335e-20;0;0;0;0;2.220446e-16;-2.220446e-16;2.220446e-16;45;0;2.960595e-16;2.56395e-16;2.220446e-16;-3.113973e-19;2.111706e-19;-2.220446e-16;5.225679e-19;3.962173;0;0;0
23.660287;48.635426;3.435706;0;0;0;0;0;-2.220446e-16;-3.064899e-17;0;0;0;0;4.152835e-18;-2.261974e-16;1.151751e-16;45;0;1.535668e-16;1.522015e-16;0;-6.158896e-17;2.909807e-19;-2.220446e-16;6.187995e-17;3.414522;-2.220446e-16;2.220446e-16;0
